Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2019_001,Elaho River Chinook Salmon Restoration,1,Squamish River Watershed Society,Stewardship Group (local/community-based),South Coast,Elaho River,Infrastructure,9/1/2019,3/31/2022,The Elaho River chinook salmon restoration project will restore fish passage and increase chinook productivity in the lower Elaho River. The project will reduce obstructions and provide fish access to over 40 kilometers of ideal fish habitat in the upper section of the watershed improving the natural productivity of char and salmonids including chinook coho pink salmon and steelhead.,"Sḵwx̱wú7mesh Úxwumixw,  Pacific Salmon Foundation, BC Ministry of Forests, DFO, Tenderfoot Hatchery",Pacific Salmon
BCSRIF_2019_003,Electronic Application for Enhanced Selective Fishing and Bycatch Avoidance,1,Canadian Groundfish Research and Conservation Society,Commercial Enterprise,BC Wide and Coastal Waters,Pacific Ocean,Innovation,8/15/2019,3/31/2024,"The Canadian Groundfish Research and Conservation Society in partnership with Vericatch Solutions Inc. will develop an electronic application for fishing vessels that utilizes at-sea monitoring data from commercial groundfish vessels in real time to create heat maps showing where marine species of concern (such as chinook salmon, Bocaccio rockfish etc.) are being encountered to minimize bycatch.","Vericatch
",Pacific Groundfish
BCSRIF_2019_005,Creation of Salmon Conservation Facility,1,Juan de Fuca Salmon Restoration Society,Stewardship Group (local/community-based),South Coast,"Charters River, Sooke",Infrastructure,4/15/2020,3/31/2023,Funding will support upgrades to the Sooke River Jack Brooks hatchery facility and interpretive center. Facility upgrades will meet green building codes include upgraded effluent treatments and the potential for stock assessment capability. Planning and upgrades are intended to provide a template to support similar upgrades and contribute to the overall effectiveness of community-operated hatcheries.,"MariSource Vertical Incubation System, Sooke Salmon Enhancement Society, T’souke First Nation, Juan de Fuca Salmon Enhancement Society, Charters River Salmon Interpretive Centre",Pacific Salmon
BCSRIF_2019_006,"Enhancing rockfish recovery through citizen science, outreach & field experiments",1,"University of Victoria, School of Environmental Studies",Post-Secondary Institution,South Coast,Galiano Island,Science partnerships,8/15/2019,3/31/2024,The University of Victoria (UVic) will support BC rockfish recovery and assessment through outreach and citizen-science emphasizing angler awareness of regulations (via My Catch app) and through an evaluation of the effectiveness of descenders on reducing rockfish mortality. UVic will partner with academia conservancy organizations and local First Nations.,"Angler's Atlas, DFO, Galiano Conservancy Association, Ball State University
",Pacific Groundfish
BCSRIF_2019_011,Development of North Island wet lab capacity to investigate wild/farm salmon interaction and stock restoration,1,BC Centre for Aquatic Health Sciences Society,Research and Innovation Institution/Academic,South Coast,Campbell River,Innovation,7/15/2019,6/30/2021,"This project aims to establish a wet lab facility near Campbell River to increase research and diagnostic capacity to identify and examine fish health threats including effects of climate change and interactions between farmed and wild stocks. The project is shovel-ready with preliminary designs complete.  Construction contractors are engaged and prepared to begin siting, permitting & planning for 18 – 24 months construction to commence in late summer 2019.  This project promotes information transfer to government, general public & industry stakeholders; it is also an educational platform.",,Pacific Salmon
BCSRIF_2019_014,Innovative Habitat Restoration Demonstration,1,British Columbia Conservation Foundation,Not-for-profit organization (ENGO),Fraser and Interior,Thompson River System ,Innovation,8/1/2019,3/31/2024,"Led by the British Columbia Conservation Foundation the Innovative Habitat Restoration Demonstration is a multi-year watershed-scale demonstration project to showcase innovative habitat restoration methods that accommodate the effects of recent ecosystem shifts with benefits to chinook, coho, sockeye and steelhead salmon. The project will promote restoration protection and maintenance of healthy and diverse salmon populations and their habitats.",,Pacific Salmon
BCSRIF_2019_017,"Historical review and Indigenous engagement to increase efficacy of, and Indigenous participation in the British Columbia Salmon Restoration and Innovation Fund (BCSRIF).",1,National Indigenous Fisheries Institute,"Indigenous Organization (non-commercial, including First Nations governments)",BC Wide and Coastal Waters,BC Wide,Science partnerships,8/15/2019,6/30/2020,The National Indigenous Fisheries Institute will engage with Indigenous communities to identify potential large-scale multi-Nation initiatives that could be supported by BCSRIF. This work will also encourage increased Indigenous involvement in science partnerships innovation and infrastructure investments that would improve productivity sustainability and safety across the sector.,First Nations Fisheries Council (FNFC),Pacific Salmon
BCSRIF_2019_018,Rehabilitation of Critical Infrastructure to Improve Survival of Thompson Steelhead & Chinook,1,Scw’exmx Tribal Council,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,"Nicola River watershed, Merritt",Infrastructure,8/1/2019,3/31/2024,The Scw'exmx Tribal Association and partners will assess and rehabilitate degraded habitats in the Coldwater River and Guichon Creek watersheds to improve survival of Thompson steelhead and chinook salmon.,Scw'exmx Tribal Council,Pacific Salmon
BCSRIF_2019_040,Determination of Bottlenecks Limiting Wild and Enhanced Juvenile Salmon and Steelhead Production in BC using PIT tags and Spatially Comprehensive Arrays,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,East Coast Vancouver Island,Science partnerships,5/1/2020,3/31/2024,Together with partners the Pacific Salmon Foundation will develop the monitoring and evaluation framework to determine survival bottlenecks in freshwater and marine environments for hatchery and wild chinook coho and steelhead. Research monitoring and evaluation activities will seek to maximize the performance of hatchery and wild stocks; and the installation of new infrastructure will support adaptive management of hatchery programs to meet harvest conservation and sustainability objectives.,"BCCF, Cowichan Tribes, Snuneymuxw First Nation, A-Tlegay Fisheries Society, K’ómoks First Nation, Nanoose First Nation, UVic, DFO, and BC Ministry of WLRS",Chinook and coho
BCSRIF_2019_041,Enhancing Estuary Resiliency: An Innovative Approach to Sustaining Fish and Fish Habitat in a Changing Climate,1,Nature Trust of British Columbia (NTBC),Not-for-profit organization (ENGO),BC Wide and Coastal Waters,"Vancouver Island, Central Coast, Haida Gwaii ",Innovation,7/15/2019,3/31/2024,"Through this project, the Nature Trust of BC will undertake monitoring and research to assess estuary resilience to sea level rise and other climate impacts across the coast of BC using the Marsh Resiliency to Sea Level Rise (MARS) tool followed by restoration projects to restore core natural estuarine processes. The Nature Trust of BC will partner with various local First Nations groups environmental organizations and academic institutions.","West Coast Conservation Land Management Partnership Program
Marine Plan Partnership
Nanwakolas Council
Simon Fraser University
Snuneymuxw First Nation
Cowichan Tribes
Hakai Institute
University of British Columbia
Pacific Salmon Foundation
Habitat Conservation Trust Foundation",Pacific Salmon
