project_id,pres_title,speakers,bio,session,organization,source,abstract,confirmed,start_time,timestamp,collaborators,authors
2394,NA,Cory Lagasse,NA,Fisheries Monitoring and Harvest Methods,DFO,DFO,NA,No,11:00 AM,,NA,NA
2397,NA,Jared Dick,NA,Follow the Fish,Nuu-Chah-Nulth Tribal Council,DFO,NA,Yes,10:00 AM,01:55:30,NA,NA
2398,NA,Diana McHugh,NA,Follow the Fish,DFO,DFO,NA,No,NA,,NA,NA
BCSRIF_2019_045,NA,Will Atlas,NA,Fisheries Monitoring and Harvest Methods,Pacific Salmon Foundation,BCSRIF,NA,Yes,10:15 AM,00:07:34,NA,NA
2404,NA,"Laura Bianucci, Marilena Geng",NA,Marine Stressors,DFO,DFO,NA,Yes,1:15 PM,02:37:30,NA,NA
2405,Insights into the effects of marine and freshwater variables on salmon population dynamics: A hierarchical lifecycle approach,Jan Finke,NA,Salmon In A Changing Climate,DFO,DFO,NA,Yes,11:30 AM,01:07:10,NA,"Jan Finke, Travis Tai, Amber Holdsworth, Josie Iacarella, Dan Selbie, Greig Oldford, Howard Stiff, Brendan Connors, Cameron Freshwater and Patrick Thompson"
2406,NA,Sophia Johannessen,NA,Salmon In A Changing Climate,DFO,DFO,NA,Yes,10:30 AM,00:06:30,NA,NA
2407,"Characterizing juvenile Chinook salmon distribution, diet and health on the West Coast of Vancouver Island",Jessy Bokvist,NA,Follow the Fish,DFO,DFO,"West Coast of Vancouver Island (WCVI) Chinook salmon are of conservation concern, with juvenile salmon experiencing a variety of stressors during the early marine phase that can impact survival. From 2020-2025, this monitoring project has sampled juvenile Chinook during year-round salmon surveys in estuarine and nearshore marine areas along the WCVI. Researchers are characterizing fish distribution in relation to environmental variables to understand where and when juvenile Chinook are present. Information on fish diet is being related to measures of fish health (condition, growth) to better understand how these factors may limit survival.  ",Yes,10:30 AM,00:41:00,"Ahousaht First Nation, Ditidaht First Nation, Ehattesaht/Chinehkint First Nation, Ha’oom Fisheries Society, Hesquiaht First Nation, Hupacasath First Nation, Huu-ay-aht First Nations, Ka:’yu:’k’t’h’/Che:k:tles7et’h’ First Nations, LGL Limited, Maaqutusiis Hahoulthee Stewardship Society, M.C. Wright and Associates Ltd., Mowachaht-Muchalaht First Nations, Nootka Sound Watershed Society, Nuchatlaht Tribe, Nuu-Chah-Nulth Tribal Council, Pacheedaht First Nation, Quatsino First Nation, Tla-o-qui-aht First Nation, Toquaht Nation, Tseshaht First Nation, T’Sou-ke Nation, Uchucklesaht Tribe,Yuułuʔiłʔatḥ Government",NA
2408,NA,Amy Long,NA,Fish Health,DFO,DFO,NA,Yes,,03:06:43,NA,NA
2409,NA,Cameron Freshwater,NA,Marine Stressors,DFO,DFO,NA,Yes,2:30 PM,04:03:45,NA,NA
