Fiscal year,Project Id,Title,Primary funding source,Functional group,Project leads,Status,Overview,Overview word count,Region,Division,Section,Starting year,List of project years,Last modified date,Last modified by,Last modified description,Activity count,Staff count,Sum of staff FTE (weeks),Sum of costs,Start date for this year of the project,End date for this year of the project,Year-specific priorities,Deliverables / activities,"Will the project require the purchase, design or fabrication of specialized laboratory or field equipment?",What technical services are being requested?,Do you anticipate needing assistance with mobilization/demobilization of this equipment?,Does this project involved a field component?,"Describe need for vehicle (type of vehicle, number of weeks, time-frame)","Ship (Coast Guard, charter vessel) Requirements?","Description of Ship (Coast Guard, charter vessel) Requirements","If this project links to a ship time request in COIP, please include the COIP application number here.",What field instrumentation will be deployed during this project?,"Who is the owner/curator of this instrumentation, if known?",Do you require field support staff?,"If so, please include some additional detail, e.g., how many people are likely to be required and when",Will new data be collected or generated in this year of the project?,What type of data will be collected,"What data products will be generated (e.g. models, indices)?",Does this year of the project have products eligible to be placed on the Open Data Platform,Data storage / archiving plan,"Describe what data management support is required, if any.",Does this project involve laboratory work?,Is laboratory space required?,Does this project require other specialized laboratory support or services (provide details below)?,Describe other laboratory requirements relevant for project planning purposes.,"Special IT requirements (software, licenses, hardware)",Additional notes,Responsibility center (if known),Allotment code (if known),Existing project codes (if known)
2020-2021,1668,Fishery & Assessment Data Section - Spatial Data Unit,PSSI (B-base),Pacific Region Functional Group,"Steven Schut, Shelee Hamilton",Submitted,"The Spatial Data Unit focuses on strategic coordination and outreach of with external client groups related to divisional spatial data holdings. The work unit focuses on tools and projects to support standardization, communication and data sharing with managers and the public. The unit supports strategic data delivery by:

* Maintaining a working knowledge of National and Regional Initiatives and impacts on data management
* Developing connections between data creators and lay audiences
* Expertise in preparation and publication of spatial data, communicating science
* Allocating time and resources to free up time for front line data managers to focus on core Stock Assessment objectives
* Advising data owners and executive on strategic data context
Currently the work unit is focused on supporting

* Development of Regional Spatial Data Governance structures through the mutli-sectoral Regional Spatial Data Coordination working group

",128,Pacific,Stock Assessment and Research (StAR),Fishery and Assessment Data,2020-2021,"2020-2021, 2021-2022, 2022-2023, 2025-2026",2022-08-29,Selina Agbayani,3 years ago,4,3,64,"30,000.00",2020-04-01,2021-03-31,"MSP National Atlas Data Coordination, Regional Data Publication, Strategic Data Project implementation","__Salmon Data Unit Deliverables:__

 Provide quality assurance and quality control for access to timely and accurate data on salmon catch and escapement. Provide advice to Fishery Managers to calculate in-season and post-season catch estimates. Provide internal and external data requests on salmon catch and escapement. Provide advice to Resource Management and Science staff on planning and conducting the Salmon Catch Monitoring program. Support Fishery officers with requests related to prosecution for violations of the Fisheries Act (e.g. certified copies).										",No,,,No,,No,,,,,No,,No,,,Yes,,,No,No,No,,,,51890 (Fishery & Assessment Data Section),120 (O&M - Regular),96247 (Fish & Fish Habitat Science-based analysis)
2021-2022,1668,Fishery & Assessment Data Section - Spatial Data Unit,PSSI (B-base),Pacific Region Functional Group,"Steven Schut, Shelee Hamilton",Submitted,"The Spatial Data Unit focuses on strategic coordination and outreach of with external client groups related to divisional spatial data holdings. The work unit focuses on tools and projects to support standardization, communication and data sharing with managers and the public. The unit supports strategic data delivery by:

* Maintaining a working knowledge of National and Regional Initiatives and impacts on data management
* Developing connections between data creators and lay audiences
* Expertise in preparation and publication of spatial data, communicating science
* Allocating time and resources to free up time for front line data managers to focus on core Stock Assessment objectives
* Advising data owners and executive on strategic data context
Currently the work unit is focused on supporting

* Development of Regional Spatial Data Governance structures through the mutli-sectoral Regional Spatial Data Coordination working group

",128,Pacific,Stock Assessment and Research (StAR),Fishery and Assessment Data,2020-2021,"2020-2021, 2021-2022, 2022-2023, 2025-2026",2021-07-30,Steven Schut,"4 years, 1 month ago",4,3,100,"93,000.00",2021-04-01,2022-03-31,"MSP National Atlas Data Coordination, Regional Data Publication, Strategic Data Project implementation","__Salmon Data Unit Deliverables:__

 Provide quality assurance and quality control for access to timely and accurate data on salmon catch and escapement. Provide advice to Fishery Managers to calculate in-season and post-season catch estimates. Provide internal and external data requests on salmon catch and escapement. Provide advice to Resource Management and Science staff on planning and conducting the Salmon Catch Monitoring program. Support Fishery officers with requests related to prosecution for violations of the Fisheries Act (e.g. certified copies).										",No,,,No,,No,,,,,No,,No,,,Yes,,,No,No,No,,,,51890 (Fishery & Assessment Data Section),120 (O&M - Regular),
2022-2023,1668,Fishery & Assessment Data Section - Spatial Data Unit,PSSI (B-base),Pacific Region Functional Group,"Shelee Hamilton, Selina Agbayani",Submitted,"The Spatial Data Unit focuses on strategic coordination and outreach of with external client groups related to divisional spatial data holdings. The work unit focuses on tools and projects to support standardization, communication and data sharing with managers and the public. The unit supports strategic data delivery by:

* Maintaining a working knowledge of National and Regional Initiatives and impacts on data management
* Developing connections between data creators and lay audiences
* Expertise in preparation and publication of spatial data, communicating science
* Allocating time and resources to free up time for front line data managers to focus on core Stock Assessment objectives
* Advising data owners and executive on strategic data context
Currently the work unit is focused on supporting

* Development of Regional Spatial Data Governance structures through the mutli-sectoral Regional Spatial Data Coordination working group

",128,Pacific,Stock Assessment and Research (StAR),Fishery and Assessment Data,2020-2021,"2020-2021, 2021-2022, 2022-2023, 2025-2026",2022-08-29,Selina Agbayani,3 years ago,5,4,100,"68,000.00",2022-04-01,2023-03-31,"MSP National Atlas Data Coordination, Regional Data Publication, Strategic Data Project implementation","__Salmon Data Unit Deliverables:__

 Provide quality assurance and quality control for access to timely and accurate data on salmon catch and escapement. Provide advice to Fishery Managers to calculate in-season and post-season catch estimates. Provide internal and external data requests on salmon catch and escapement. Provide advice to Resource Management and Science staff on planning and conducting the Salmon Catch Monitoring program. Support Fishery officers with requests related to prosecution for violations of the Fisheries Act (e.g. certified copies).										",No,,,No,,No,,,,,No,,No,,,Yes,,,No,No,No,,,,51890 (Fishery & Assessment Data Section),120 (O&M - Regular),96247 (Fish & Fish Habitat Science-based analysis)
2022-2023,2394,Enhanced salmon bycatch monitoring and sampling in the Pacific region groundfish trawl fishery,PSSI (B-base),Pacific Salmon Population Monitoring,Cory Lagasse,Approved,"### Background

The Pacific Region groundfish trawl fishery likely represents the largest source of Pacific salmon catch in a non-salmon directed commercial fishery. While all Pacific salmon species are prohibited in groundfish trawl and cannot be sold or traded, salmon bycatch in trawl fisheries experience high mortality rates and there have been no management measures in place to monitor or mitigate risks to stocks of concern. This sampling program was designed in collaboration between DFO Science, Fisheries Management, industry and monitoring service providers to provide accurate estimates of salmon bycatch by species in the trawl fishery and representative information on Chinook stock composition and indicator stocks.

### Objectives

Initial discussions led to the following four objectives being adopted to guide development of the program: 1\. Accurately estimate the catch in numbers of fish of each salmon species; 2\. Ensure sufficiently accurate and representative CWT sampling to quantify the fishery mortality for Chinook indicator stocks; 3\. Use genetic stock identification (i.e. DNA) where feasible to identify the stock composition of Chinook catch, including for populations that do not have CWT indicator stocks; and 4\. Estimate the spatial and temporal distribution of Chinook catch to determine when and where exploitation on stocks of concern may be occurring.

The program was initiated across for all option A groundfish trawl vessels in September 2022, and will be continued during the 2023/24 fiscal year.

",207,Pacific,Stock Assessment and Research (StAR),Salmon Assessment,2022-2023,"2022-2023, 2023-2024, 2024-2025, 2025-2026",2024-01-10,Cory Lagasse,"1 year, 8 months ago",2,1,0,0.00,2022-09-26,2023-03-31,"As the first year of the program, the focus will be on initiation and successful implementation of the sampling program: 
-initiate the monitoring and sampling program for all option A trawl vessels
-collect accurate catch estimates of salmon piece counts by species
-collect representative CWT samples from at least 20% of catch to assess fisheries mortality by indicator stock
-collect representative DNA samples from a subset of catch (specific % to be determined) to assess genetic stock composition and impacts on stocks of concern without indicator
-summarize and report on results, including catch estimates and fisheries mortality estimates",,No,,,No,,No,,,,,No,,Yes,"-catch monitoring data representing all salmon caught as bycatch in the groundfish trawl fishery during the monitoring period
-genetic stock identification data from a subsample of salmon bycatch (Chinook)
-coded wire tag data from salmon bycatch","-estimates of total Chinook salmon mortality by indicator stock 
-stock composition of Chinook salmon in trawl bycatch",No,"The storage location of catch data will be determined in collaboration with the groundfish data unit to ensure consistent with DFO data management systems.
DNA data storage location is to be determined as DFO does not currently have a database or enterprise storage solution.
Privacy restrictions on fisher provided data will prohibit placing all data as open access, however, data summaries will be published in technical reports and a data accessibility section will describe how to access the data.",,Yes,No,Yes,DNA tissue samples will be analyzed by the MGL lab. Up to 3500 tissue samples will be analyzed as part of the project. Tissue samples will be taken from salmon heads by JO Thomas and Associates and delivered to PBS.,,,,,
2022-2023,2545,Genetics Stock Identification and Parentage Based Tagging of Pacific salmon,PSSI (B-base),Pacific Region Functional Group,"Terry Beacham, Eric Rondeau",Submitted,"Genetic identification of samples on both a rapid (daily or intraweek) and regular (annual) basis on for domestic and international fisheries management and commitments under the PST and NPAFC – Genetic identification of organisms at the species, stock and individual level in partnered research applications – Genome-level genotyping for Parental based tagging (PBT) and other applications.

",51,Pacific,"Aquatic Diagnostics, Genomics and Technology (ADGT)",Molecular Genetics,2022-2023,"2022-2023, 2023-2024, 2024-2025, 2025-2026",2024-02-23,Eric Rondeau,"1 year, 6 months ago",28,14,577,"2,067,460.00",2022-04-01,2023-03-31,"PSSI funding was proposed to cover:
31,000 Brood genotypes to support PBT (Chinook and Coho); 
31,000 South Coast Stock Assessment samples for analysis; 
9,000 North Coast Stock Assessment samples for analysis; 
8,000 Yukon Transboundary Stock Assessment samples for analysis; 
3,500-5,000 Fraser Interior Stock Assessment samples for analysis; 
5,000 baseline samples; 
5,000 JOT head recovery (sample and genotyping);
PSSI Y2 Capital purchase robotics.",,Yes,"Purchase of Robotic Pipettor using capital funding to improve speed and efficiency of DNA extraction and Genotyping library preparation.  
Purchase of 96-well manual pipettor using capital funding to improve speed and efficiency of DNA extraction and Genotyping library preparation. 
Purchase of 96-well plate centrifuge to replace broken equipment to allow for speed and efficiency improvements of DNA extraction and Genotyping library preparation.",,No,,No,,,,,No,,Yes,"Raw sequencing and Genotype data. 
New genetic stock identification and parentage-based tagging baselines. 
Genetic stock identification reports. 
Parentage-based tagging database.",,No,"Raw data stored on in-house NAS servers attached to sequencing devices (Short-term). 
Raw data transferred to Microsoft Azure platform Archive-storage Tier (Medium-term). 
Genetic stock ID results transferred to regional network drives (long-term). 
Genetic stock ID results tranferred to regional stock-assessment biologists for database storage (e.g. CREST) (med-long term). 
Parentage-based tagging results (brood-to-brood) transferred to Salmon Enhancement Program database  (e.g. EPAD;EPRO). 
Parentage-based tagging recoveries (fishery-to-brood) to be collated for submission to master PSSI database when ready.","Eventually, should PSSI master database and master-identifiers be prepared, long-term storage of PBT recoveries tied to a unique PSSI master identifier required.",Yes,Yes,Yes,"Will require some external sequencing services through third-party sequencing providers for generation of new data in support of panel development.
Will require external support from Thermo Fisher for panel design and continued construction to support genotyping technique.
May require external support from sequencing services through third-party sequencing providers to generate additional genotyping beyond capacity of the lab.","Linux servers for processing of genotyping data, and license to the Torrent Analysis Suite software.
Ion Torrent Sequencer and Service Contract to perform the sequencing.
NAS servers for data storage, and associated service contract for maintenance.
External Internet line to maintain access to the sequencer by Thermo Fisher for support. 
3730xl sequencers and service contracts to support microsatellite-based genotyping. Genemapper 6 software licenses and HPC laptops to support data analysis. 
QuantStudio6 qPCR platform and service contratct to support TaqMan-based assays in support of Sockeye genotyping analyses. 
Tecan Robotic pipettors and service contracts to support high-throughput genotyping library preparation.
KingFisher Automated Extraction platforms and Service Contracts to support high-throughput DNA extractions. 
Fluoroskan DNA quantification devices and service contract to support high-throughput DNA quantifications. 
Linux Servers for downstream genotyping and Parentage-based tagging analyses.","DMapps is not fully accounting for B-base indeterminate employees in accounting for salary. In total, B-base salary support to ensure the full package can be delivered is $569,693 in FY22/23 to ensure staffing capacity to support processing of samples as forecast. 

Ultimately sample sizes shuffled between what was anticipated and what was submitted. 

PSSI salary support further allowed reductions to additional projects supported by PSSI elsewhere in DFO science and stock assessment to $15 per sample pending capacity,  and is expected to continue to be supported during the length of PSSI. 

The main hurdle to additional capacity is personnel and the space with which to perform lab work - current space would need to be expanded or renovated to allow higher occupancy both in-lab and in-office. Year 4-5 goal should be to seek additional capital funding to support a holistic re-examination of floor space design on Taylor lab wing 2 to support additional capacity for all three programs that share the spac to ensure that it can support continued science excellence.",,,
2023-2024,996,Fishery & Assessment Data Section - Administration,Core (A-base),Pacific Region Functional Group,"Shelee Hamilton, Rob Flemming, Maria Cornthwaite, Tom Bird, Yi Xu",Submitted,"Section administration; basic section allotment for training, meeting and field travel, office equipment and supplies.

**What do we do?**

This section provides custodial services for the fishery, assessment and research data.  We provide field program support, fostering a holistic understanding of the activities undertaken prior to and during data acquisition activities which contributes to efficient and effective delivery of custodial services.

**How do we do it?**

We do this by maintaining databases, safeguarding data, responding to data requests, promoting data management best practices, and assisting other programs with the development and implementation of data management plans.

**Whom do we do it for?**

We do this for the programs of the Stock Assessment and Research Division, Ecosystem Sciences Division, and Aquatic Diagnostics, Genomics & Technology Division.

**What value are we bringing?**

The value we bring to Science Pacific is providing secure data now and in future, interconnected and interoperable data, useful data discoverable and accessible through standard means, and cost effective data management.  We operate with the assumption that data collected for a given purpose may be applied to a secondary, unspecified research question, resulting in an enhanced understanding.

**We provide:**  
• database access and support to multiple sections within the Division and to other divisions (e.g. Pacific Aging Data System support to Aquatic Diagnostics, Genomics and Technology)  
• support for field surveys  
• promote data management best practices  
• chair and participate in CSAS processes  
• represent Pacific region Science on regional and national data management working groups

",229,Pacific,Stock Assessment and Research (StAR),Fishery and Assessment Data,2020-2021,"2020-2021, 2021-2022, 2022-2023, 2023-2024",2023-08-01,Shelee Hamilton,"2 years, 1 month ago",5,16,220,"25,000.00",2023-04-01,2024-03-31,,"__Salmon Data Unit Deliverables:__

 Provide quality assurance and quality control for access to timely and accurate data on salmon catch and escapement. Provide advice to Fishery Managers to calculate in-season and post-season catch estimates. Provide internal and external data requests on salmon catch and escapement. Provide advice to Resource Management and Science staff on planning and conducting the Salmon Catch Monitoring program. Support Fishery officers with requests related to prosecution for violations of the Fisheries Act (e.g. certified copies).										",No,,,No,,No,,,,,No,,No,,,Yes,,,No,No,No,,,,51890 (Fishery & Assessment Data Section),120 (O&M - Regular),
2023-2024,2394,Enhanced salmon bycatch monitoring and sampling in the Pacific region groundfish trawl fishery,PSSI (B-base),Pacific Salmon Population Monitoring,"Kathryn Fraser, Cory Lagasse",Draft,"### Background

The Pacific Region groundfish trawl fishery likely represents the largest source of Pacific salmon catch in a non-salmon directed commercial fishery. While all Pacific salmon species are prohibited in groundfish trawl and cannot be sold or traded, salmon bycatch in trawl fisheries experience high mortality rates and there have been no management measures in place to monitor or mitigate risks to stocks of concern. This sampling program was designed in collaboration between DFO Science, Fisheries Management, industry and monitoring service providers to provide accurate estimates of salmon bycatch by species in the trawl fishery and representative information on Chinook stock composition and indicator stocks.

### Objectives

Initial discussions led to the following four objectives being adopted to guide development of the program: 1\. Accurately estimate the catch in numbers of fish of each salmon species; 2\. Ensure sufficiently accurate and representative CWT sampling to quantify the fishery mortality for Chinook indicator stocks; 3\. Use genetic stock identification (i.e. DNA) where feasible to identify the stock composition of Chinook catch, including for populations that do not have CWT indicator stocks; and 4\. Estimate the spatial and temporal distribution of Chinook catch to determine when and where exploitation on stocks of concern may be occurring.

The program was initiated across for all option A groundfish trawl vessels in September 2022, and will be continued during the 2023/24 fiscal year.

",207,Pacific,Stock Assessment and Research (StAR),Salmon Assessment,2022-2023,"2022-2023, 2023-2024, 2024-2025, 2025-2026",2024-04-18,Cory Lagasse,"1 year, 4 months ago",2,3,24,"285,236.00",2023-06-05,2024-03-29,"Year 2 of the monitoring program will see continued collection of salmon bycatch catch estimates and samples. Priorities for year 2 are similar to year 1:
1. collect accurate catch estimates of salmon piece counts by species
2. collect representative CWT samples from at least 20% of catch to assess fisheries mortality by indicator stock
3. collect representative DNA samples from a subset of catch (specific % to be determined) to assess genetic stock composition and impacts on stocks of concern without indicator
4. summarize and report on results, including catch estimates and fisheries mortality estimates",,No,,,No,,No,,,,,No,,Yes,"-catch monitoring data representing all salmon caught as bycatch in the groundfish trawl fishery during the monitoring period
-genetic stock identification data from a subsample of salmon bycatch (Chinook)
-coded wire tag data from salmon bycatch","-catch of salmon in pieces by species
-estimates of total Chinook salmon mortality by indicator stock 
-stock composition of Chinook salmon in trawl bycatch",No,"The storage location of catch sample data will be determined in collaboration with the groundfish data unit to ensure consistent with DFO data management systems, but will likely reside within GFFOS.
DNA data storage location is to be determined as DFO does not currently have a database or enterprise storage solution.
Privacy restrictions on fisher provided data will prohibit placing all data as open access, however, data summaries will be published in technical reports and a data accessibility section will describe how to access the data.",,Yes,No,Yes,DNA tissue samples will be analyzed by the MGL lab. Up to 7000 tissue samples will be analyzed as part of the project. Tissue samples will be taken from salmon heads by JO Thomas and Associates and delivered to PBS.,,,,,
2023-2024,2397,Identifying good practices for considering Indigenous Knowledge in Rebuilding Plan targets and stock assessment reference poi,PSSI (B-base),Pacific Salmon Modelling & Decision Support,Carrie Holt,Submitted,"The goal of this project is to identify reference points and rebuilding targets for Pacific salmon by pairing Indigenous knowledge systems with Western science within a knowledge co-production paradigm. Knowledge co-production can be defined as “the process of bringing together two different knowledge systems, in true partnership and equity, to enhance, learn, and create new understandings on a specific topic.” (Ellam Yua et al. 2022).

Analytical methods for identifying limit reference points have been developed for Pacific salmon (DFO 2022a) based on Western science, but these have not considered Indigenous Knowledge which was identified as a gap within CSAS review (DFO 2022a, b). ‘Upper stock references’ (delineating ‘critical’ and ‘cautious’ zones of status) and rebuilding targets are components of the DFO’s Precautionary Approach Framework and the Fish Stocks provisions under the Fisheries Act, but guidance on identifying them is currently lacking for Pacific salmon. The Fisheries Act further enables the consideration of Indigenous Knowledge in management, such as in the development of rebuilding targets and reference points, but there is limited/no precedents for this for Pacific salmon.

Pairing Indigenous knowledge systems and Western science in the development of reference points and targets is a step towards ensuring that rebuilding is inclusive of Nations’ ontologies, including their definitions for ‘healthy’ and ‘rebuilt’. First Nations have a precedence of knowledge that includes generations of place-based observations that cannot be recreated, or necessarily measured quantitatively. This project, partnered with the Ha’oom Fisheries Society, will explore how to include this alongside or within Western science ideas of status assessment and rebuilding. Methods will be co-created with First Nations partners; we anticipate that they will include a combination of interviews, facilitated discussions, literature reviews, and meta-analyses. In particular, we will identify what levels and attributes are considered ‘healthy’ or ‘rebuilt’ for salmon populations and where ‘serious harm’ is expected to occur, including life-history, distributional, and habitat characteristics.

The project will be co-led with the Five Nations (Ahousaht, Ehattesaht, Mowachaht/Muchalaht, Hesquiaht and Tla-o-qui-aht First Nations) that are represented by the Ha’oom Fisheries Society, with a focus on relationship building and addressing Indigenous needs and values. Bringing Indigenous knowledge systems and Western science together will lead to more equitable and inclusive outcomes, supporting the aims of reconciliation and furthering the capacity for Indigenous self governance. Achieving sustainability of salmon fisheries cannot be achieved through a Western scientific lens alone; incorporating Indigenous Knowledge Systems and a broader perspective on what is considered healthy and serious harm in salmon ecosystems will be essential. The costs in year 1 will be supported in part by Five Nations Funding through DFO’s Treaties and Reconciliation Agreements Program.

",395,Pacific,Stock Assessment and Research (StAR),Quantitative Assessment Methods,2023-2024,"2023-2024, 2024-2025, 2025-2026",2024-04-19,Carrie Holt,"1 year, 4 months ago",3,6,9.1,"29,050.00",2023-09-01,2024-03-31,"The priorities for year 1 are first, to develop research protocols that are aligned with First Nations priorities and values and OCAP principles, and obtain Ethics approvals for conducting interviews with Indigenous Knowledge holders 
Secondly, we will initiate interviews with First Nations about relevant Indigenous knowledge and teachings for WCVI suuhaa (Chinook) rebuilding targets and reference points (indicators, metrics, and values)
Thirdly, we will initiate a review of Western science understanding, knowledge and data on rebuilding targets and references points for Chinook salmon.",,No,,,No,,No,,,,,No,,No,,,No,,,No,No,No,,,"All Indigenous Knowledge will be handled in alignment with OCAP principles of ownership, control, access, and possession. Aligned with the draft federal Indigenous Knowledge Policy Framework, “Indigenous peoples will guide the understanding of the context and meaning of any Indigenous knowledge that they provide, the purpose for which it is being provided, and how their Indigenous knowledge, even when not provided in confidence, may be shared.”(Government of Canada 2022).  No new biological or assessment data will be collected in this project.",,,
2023-2024,2398,WCVI Sediment Transport and Redd Scour Assessment,PSSI (B-base),Pacific Salmon Population Monitoring,Diana McHugh,Submitted,"  1. West Coast Vancouver Island (WCVI) Chinook salmon (Oncorhynchus tschwatcha) populations declined precipitously after the 1990s. Survival rates for naturally spawning WCVI Chinook are now below replacement levels. In 2020, WCVI Chinook was listed as ""Threatened"" by Canada's Committee on the Status of Endangered Wildlife triggering the Chinook Rebuilding Plan and the marine and freshwater risk assessment (FWRA) processes. Results from the FWRA, highlighted that across the region the incubation life history phase was extremely data deficient. High incubation mortality can reduce productivity and limit the recovery of Chinook salmon populations. A small change in survival during this life history phase can have significant implications on production. Redd scour was identified as a high priority data gap in the indicator watersheds throughout WCVI. The purpose of this study is to evaluate redd scour, sediment transport, and hydrological conditions in three indicator watersheds in Area 23 and Area 24. This study will be important for developing a standard methodology to address this data gap, and for characterizing the scale of the issue. The results will be vital for developing indicators and benchmarks, and to inform restoration, enhancement, and rebuilding measures for WCVI Chinook.

  2. The outcomes of the redd scour study are to: A. Develop a robust methodology to measure redd scour that can be repeated in indicator watersheds across the region; B. Estimate what percentage of redds are scoured at different flow thresholds and how that impacts salmonid mortality during incubation; and, C. Understand what effect more frequent and higher peak flows in a changing climate will have on redd scour and salmonid mortality in the future.

The methodology for the study has three components: I. The installation of a hydrometric station that is calibrated to provide a continuous discharge record for Tranquil Creek and implement a pilot methodology in Tranquil Creek (completed 2022). II. Field surveys in spawning locations that includes cross-sections and sediment size measurements, and the installation of PIT tagged accelerometer scour chains at surveyed locations to measure redd scour; (planned for Sarita [externally funded] and Tranquil in 2023 and Bedwell 2024). III. Pairing bed disturbance data with a 2D hydraulic model to estimate the spatial extent of bed disturbance at a reach scale in key Chinook and chum spawning areas. (Planned for 2023 in Sarita [externally funded] and 2024 Bedwell).

  1. The results from this study will be important for characterizing the scale of the issue and will be vital for developing restoration prescriptions and can inform indicator development, enhancement, and rebuilding strategies in the region. In particular, for the Bedwell and Sarita Rivers, a rotary screw trap provides a total abundance estimate, which facilities that calculation of the egg-fry survival rate. Developing a relationship between over-winter egg-fry survival and redd scour and sediment movement, will be important for understanding the scale of the issue in watersheds across WVCI and the urgency needed to address this issue.

",475,Pacific,Stock Assessment and Research (StAR),South Coast Area Salmon Stock Assessment,2023-2024,"2023-2024, 2024-2025, 2025-2026",2023-11-09,Diana McHugh,"1 year, 10 months ago",0,1,1,"18,000.00",2023-06-20,2024-03-31,"II.	Field surveys in spawning locations that includes cross-sections and sediment size measurements, and the installation of PIT tagged accelerometer scour chains at surveyed locations to measure redd scour in Tranquil Creek in 2023.
III.	Pairing bed disturbance data with a 2D hydraulic model to estimate the spatial extent of bed disturbance at a reach scale in key Chinook and chum spawning areas.",,No,,,Yes,"None, work will be carried out by external contractors.",No,,,,,No,,Yes,"Discharge measurements, scour chain monitoring results, survey data, orthophotos, grain size data, photos","2D Hydraulic models, report detailing results and methods, survey data in CAD, csv, and PDF formats will include locations of scour chains and bed elevations",Yes,All data for this project is saved to Redd Fish Restoration Society’s One Drive cloud storage software and data is shared between team members through One Drive as well.,,No,No,No,,,,,,
2023-2024,2399,Risk Assessment Method for Salmon – Development for Regional Implementation,PSSI (B-base),Pacific Salmon Modelling & Decision Support,Chrissy Czembor,Approved,"**(1) WHAT IS BEING PROPOSED**

Hyatt et al. developed the Risk Assessment Method for Salmon (RAMS) in 2010 to identify and prioritize factors that limit salmon production, both now and under climate change. It was adapted from existing DFO risk assessment frameworks and a risk assessment framework for fisheries in Australia, and provides a standardized and semi-quantitative method to integrate ecosystem data and expert opinion related to salmon survival across all their life stages. The resulting list of ranked risks identifies both high priority management needs and data gaps that require additional investigation.

RAMS has been applied in more than a half dozen watersheds for Chinook (ocean and stream type), coho, and sockeye to inform Recovery Potential Assessments under the Species at Risk Act and Rebuilding Plans under the Fish Stock Provisions of the Fisheries Act. RAMS continues to evolve toward a standard methodology flexible enough to assess risks at different scales and with various levels of data availability. Included in those methods are: Regional Salmon Information Tables that provide scientific information about freshwater limiting factors for all major life history strategies of Pacific salmon species; a deterministic Life History Model template completed using relevant population data; an Ecosystem (Habitat) Status Report template completed using existing habitat and ecosystem information; and a Risk Assessment Matrix template completed during a RAMS workshop, currently in Excel format.

Areas of improvement for RAMS have been identified to facilitate regional implementation. Several components will be addressed by the existing project team, but some are beyond the capacity and/or expertise of the team and are the purpose of this proposed work. These include: (A) updates to the Regional Salmon Information Tables. This resource has not been updated since inception and significant new science is available to maintain relevance. Inclusion of marine information is also necessary to understand the bottlenecks to salmon across all their life stages. And (B) a conversion from the Excel-based Risk Assessment Matrix template to an R program based on a relational database with an interactive user interface. The Excel-based template is functional but does not allow for visualization of the many ecosystem components that are aggregated to understand risk; complex analysis of relationships between indicators and limiting factors; or hierarchical meta-analyses of data gaps and risk across stocks to facilitate prioritization of monitoring and research. Conversion to a relational database with a user interface will allow for this functionality.

__(2) OUTCOMES: __

A updated, robust RAMS framework applicable for all salmon species structured for continuous learning and updating, that is user-friendly for DFO and non-DFO technical staff. Specifically, 1\. Updated Regional Salmon Information Tables by life stage and ecosystem unit, including indicators, benchmarks, and guidance for RAMS facilitators. Request is for two BI-02s to update through existing literature and engage with DFO and other scientists (e.g., Dr. Jonathon Moore’s lab at SFU, Institute of Ocean Sciences oceanographers) to facilitate addition of freshwater and marine indicators and information. The team will pilot the tables for use in rebuilding and recovery processes and update as needed. 2\. Updated Risk Assessment Matrix template from Excel to an R-based program and backend database. This will require specialized coding expertise either through hiring or contract.  
3\. Workshop(s) with relevant DFO staff will be used to scope the structure and functionality required. 4\. Updates to the RAMS methodology and support work will require 0.35 FTE (Full Time Equivalents) for a BI-03.

**(3) THE MANAGEMENT QUESTION(S) ADDRESSED**

RAMS will prioritize risks to salmon stocks across the 3 Hs of Habitat, Harvest, and Hatcheries by identifying management and mitigation options most likely to result in successful restoration and rebuilding, which will support decision making in each of the 3Hs. It will prioritize scientific research and monitoring to address key knowledge gaps and integrate knowledge across disciplines inside and outside DFO. RAMS will support and standardize the legislated requirements for rebuilding plans under the Fish Stock Provisions and Recovery Potential Assessments under SARA.

",595,Pacific,Regional Director's Office,Regional Director's Office,2023-2024,"2023-2024, 2024-2025",2024-01-03,Chrissy Czembor,"1 year, 8 months ago",4,5,0,"87,726.00",2023-04-01,2024-03-31,,,No,,,No,,No,,,,,No,,No,,,No,,,No,No,No,,TBA,"This project focusses on assembling existing salmon information to support risk assessments and creation of a contemporary format to enter risk assessment scores. No new data are generated, but data products will be created and housed on the Strait of Georgia Data Centre: https://sogdatacentre.ca/",,,
