session,leads,date
Data and modelling to support decision making,Ann-Marie Huang,12/10/2025
Data and modelling to support decision making,Carrie Holt,12/10/2025
Fisheries monitoring and harvest methods,Ann-Marie Huang,12/10/2025
Fisheries monitoring and harvest methods,Cory Lagasse,12/10/2025
Fisheries monitoring and harvest methods,Erin Rechisky,12/10/2025
Follow the Fish,Isobel Pearsall,12/3/2025
Follow the Fish,Nicholas Brown,12/3/2025
Follow the Fish,Neil Dangerfield,12/3/2025
Follow the Fish,Andrew Ross,12/3/2025
Follow the Fish,Jessy Bokvist,12/3/2025
Freshwater stressors,Joe Enns,12/2/2025
Freshwater stressors,Dave Patterson ,12/2/2025
Freshwater stressors,Sean Naman,12/2/2025
Hatcheries,Cory Lagasse,12/9/2025
Hatcheries,Tim Healy,12/9/2025
Hatcheries,Eric Rondeau,12/9/2025
Hatcheries,Kyle Wellband,12/9/2025
Marine stressors,Isobel Pearsall,12/3/2025
Marine stressors,Nicholas Brown,12/3/2025
Marine stressors,Akash Sastri,12/3/2025
Marine stressors,Cameron Freshwater,12/3/2025
Marine stressors,Strahan Tucker,12/3/2025
Salmon Health,Joe Enns,12/9/2025
Salmon Health,Amy Long,12/9/2025
Salmon Health,Ian Forster,12/9/2025
Salmon Health,Christoph Deeg,12/9/2025
Salmon Health,Sydney Baxter,12/9/2025
Salmon Health,Alison Krimmer,12/9/2025
Salmon in a changing climate,Cory Lagasse,12/2/2025
Salmon in a changing climate,Di Wan,12/2/2025
Salmon in a changing climate,Amber Holdsworth,12/2/2025
Salmon in a changing climate,Patrick Thompson,12/2/2025
